ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-10-30 10:05:00,5822.499044863885,1721.4807149734604,5067.9135736925355,5822.499044863885,5822.499044863885,-2469.4418628697936,-2469.4418628697936,-2469.4418628697936,-2469.4418628697936,-2469.4418628697936,-2469.4418628697936,0.0,0.0,0.0,3353.057181994091
2018-10-30 10:10:00,5821.810534560084,1433.9513634880257,4751.147013682333,5821.810534560084,5821.810534560084,-2701.9061342479254,-2701.9061342479254,-2701.9061342479254,-2701.9061342479254,-2701.9061342479254,-2701.9061342479254,0.0,0.0,0.0,3119.904400312159
2018-11-01 08:00:00,5443.129867469943,1599.9918930638712,4904.132751381511,5443.129867469943,5443.129867469943,-2280.6282479804363,-2280.6282479804363,-2280.6282479804363,-2280.6282479804363,-2280.6282479804363,-2280.6282479804363,0.0,0.0,0.0,3162.5016194895065
2018-11-01 08:05:00,5442.441357166143,1183.9121160569327,4512.292089523999,5442.441357166143,5442.441357166143,-2589.7060848817177,-2589.7060848817177,-2589.7060848817177,-2589.7060848817177,-2589.7060848817177,-2589.7060848817177,0.0,0.0,0.0,2852.735272284425
2018-11-01 08:10:00,5441.752846862342,907.2528104425639,4434.619831912998,5441.752846862342,5441.752846862342,-2822.082304626201,-2822.082304626201,-2822.082304626201,-2822.082304626201,-2822.082304626201,-2822.082304626201,0.0,0.0,0.0,2619.670542236141
2018-11-01 08:30:00,5438.99880564714,645.5869529766414,3885.411833753722,5438.99880564714,5438.99880564714,-3119.9683953098033,-3119.9683953098033,-3119.9683953098033,-3119.9683953098033,-3119.9683953098033,-3119.9683953098033,0.0,0.0,0.0,2319.030410337337
2018-11-01 08:35:00,5438.31029534334,719.4400192760577,3890.0073658923434,5438.31029534334,5438.31029534334,-3072.6850835106925,-3072.6850835106925,-3072.6850835106925,-3072.6850835106925,-3072.6850835106925,-3072.6850835106925,0.0,0.0,0.0,2365.6252118326474
2018-11-01 08:40:00,5437.62178503954,742.4092041113931,4118.617444098566,5437.62178503954,5437.62178503954,-2991.6330439175968,-2991.6330439175968,-2991.6330439175968,-2991.6330439175968,-2991.6330439175968,-2991.6330439175968,0.0,0.0,0.0,2445.988741121943
2018-11-01 08:45:00,5436.933274735739,852.7785820531303,4202.709065431842,5436.933274735739,5436.933274735739,-2884.292089295739,-2884.292089295739,-2884.292089295739,-2884.292089295739,-2884.292089295739,-2884.292089295739,0.0,0.0,0.0,2552.6411854400003
2018-11-01 09:00:00,5434.867743824339,1298.8244690697559,4695.30684376321,5434.867743824339,5434.867743824339,-2477.1189171225983,-2477.1189171225983,-2477.1189171225983,-2477.1189171225983,-2477.1189171225983,-2477.1189171225983,0.0,0.0,0.0,2957.748826701741
